date,return,var99_sv_mean,var99_sv_lo,var99_sv_hi,var99_garch
2024-07-24,-2.3421242222892857,-2.559711709973854,-4.066117398517332,-1.4883698591955201,-2.5856583500164407
2024-07-25,-0.5155889019717259,-2.7176796979506364,-4.4103588981977975,-1.5742986490075799,-3.9716497197734952
2024-07-26,1.1029420409570925,-2.7419913225630212,-4.616641130441043,-1.6365292049756308,-3.7158042112391967
2024-07-29,0.0812979571828451,-2.742622698309496,-4.4867654400149135,-1.6230192927382654,-3.647921958862458
2024-07-30,-0.4972514361367621,-2.7875774624359773,-4.6651218321076175,-1.5902740006573135,-3.338262348923677
2024-07-31,1.5669980701917767,-2.922534745170556,-4.998922903660664,-1.7030326474327386,-3.154190103305952
2024-08-01,-1.3788123791990166,-3.1002634258710167,-4.914345566679165,-1.8364320247637875,-3.4770438464796647
2024-08-02,-1.855290660855327,-3.2227469956418258,-5.278459641194575,-1.8658693499692234,-3.718767990782881
2024-08-05,-3.04270413923931,-3.2976065418916556,-5.111988900586424,-1.9231362532904563,-4.249727869534067
2024-08-06,1.0300849493599515,-3.4147565977067575,-5.488217799921615,-2.0824788960397984,-5.653053158564247
2024-08-07,-0.7764715388769489,-3.316300715659524,-5.389608008038291,-1.9011020775805176,-5.296291010782321
2024-08-08,2.278113959089888,-3.1585623113862935,-5.216348881086563,-1.808516761760539,-4.95994654581322
2024-08-09,0.4660798434381699,-3.1329062484579016,-5.160178386233268,-1.7929522089620753,-5.3570196343622305
2024-08-12,0.0043033051720097,-2.921430619654988,-4.915197064589213,-1.6454946204280416,-4.907431225829928
2024-08-13,1.6707233419049987,-2.8069276796463365,-4.810294594456769,-1.6378394963273477,-4.477208194446749
2024-08-14,0.381643656119841,-2.7164890349471054,-4.50022847783436,-1.582752435962451,-4.5813372648543575
2024-08-15,1.6004489931304131,-2.5983937937818173,-4.467928331079235,-1.4631833624253816,-4.198206954504997
2024-08-16,0.1987802368396151,-2.538126497915262,-4.149730614055415,-1.4887134265496709,-4.314394765037096
2024-08-19,0.9675327436177776,-2.4113000775394355,-4.0999798389289195,-1.366113553202948,-3.9421765401375017
